epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,887.39,1.1687,0.99613,1.4089,0.84297,0.86584,0.90565,0.57933,1.21918,0.73011,1.42846,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,914.878,1.14752,0.97797,1.39768,0.83993,0.85799,0.90881,0.58831,1.21046,0.72907,1.40237,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,942.302,1.14546,0.98914,1.39368,0.86267,0.86652,0.9106,0.59894,1.17882,0.73688,1.37287,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,969.539,1.15465,0.98906,1.39863,0.86366,0.86541,0.91225,0.5863,1.20069,0.70377,1.39314,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,996.88,1.14142,0.97861,1.38727,0.85387,0.87744,0.9076,0.58269,1.22445,0.72274,1.41009,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,1024.11,1.13256,0.96825,1.38481,0.86529,0.86458,0.91222,0.60577,1.1488,0.68915,1.36751,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,1051.56,1.126,0.94608,1.36763,0.84113,0.88877,0.90985,0.59467,1.17621,0.69482,1.37897,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,1079.18,1.11449,0.93616,1.36778,0.84426,0.89321,0.91252,0.60875,1.14342,0.68084,1.36229,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,1106.52,1.11624,0.93786,1.36909,0.85965,0.88209,0.91828,0.60461,1.16028,0.6979,1.37121,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,1133.73,1.10487,0.92367,1.36296,0.84891,0.88122,0.91335,0.60477,1.16297,0.69723,1.36987,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,1161.06,1.10034,0.92144,1.35942,0.87523,0.85873,0.91572,0.60712,1.16431,0.70693,1.37213,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,1189.89,0.91155,0.65071,1.25336,0.85749,0.87009,0.91086,0.60625,1.15996,0.73198,1.36926,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,1216.64,0.86509,0.55859,1.21391,0.85878,0.87262,0.91405,0.60575,1.14552,0.70988,1.37325,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,1243.7,0.85026,0.53863,1.19718,0.86582,0.87987,0.91093,0.60345,1.14795,0.71266,1.37223,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,1270.47,0.84021,0.5256,1.19128,0.86843,0.87373,0.90949,0.59647,1.16706,0.71294,1.38663,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,1297.46,0.82778,0.50483,1.17942,0.85752,0.87208,0.90601,0.60152,1.14658,0.70416,1.37405,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,1324.32,0.82722,0.50607,1.18063,0.86699,0.88432,0.90883,0.60905,1.1301,0.69667,1.36467,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,1351.1,0.81616,0.50087,1.17043,0.88006,0.86986,0.90922,0.60268,1.14204,0.69793,1.36576,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,1377.97,0.80421,0.48627,1.16102,0.85279,0.88926,0.91187,0.60863,1.12619,0.69136,1.36289,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,1404.49,0.80282,0.47746,1.15612,0.87125,0.88068,0.90943,0.60853,1.13062,0.68937,1.36458,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,1431.13,0.7878,0.46873,1.15659,0.87038,0.88765,0.9124,0.6087,1.12648,0.68536,1.3604,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
